#Stats Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,1,0,0,0
#Scrimp Double Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,117,0,0,0
#Scrimp Float Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,190,0,0,0
#Scrimp FlexFloat Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Time (s): double,float,flexfloat
0.043374000,0.026133000, 5.787247
#Profile Length
20035
#i,tseries,doubleMP,j,floatMP,j,errorf(%),flexfloatMP,j,errorff(%)
199,3.375000000,11.922692859,6577,11.922725677,6577,0.000278825,11.922678749,6577,0.000118341
200,-1.854900000,11.944590947,6578,11.944623947,6578,0.000276455,11.944571592,6578,0.000162037
201,-4.763500000,11.969933195,6579,11.969964981,6579,0.000264908,11.969917738,6579,0.000129130
202,-6.382300000,11.997535164,6580,11.997563362,6580,0.000235619,11.997515103,6580,0.000167209
203,-7.476300000,12.094880520,6581,12.094915390,6581,0.000286172,12.094868453,6581,0.000099766
204,-7.038600000,12.277996646,6582,12.278027534,6582,0.000254675,12.277986282,6582,0.000084411
205,-5.517700000,12.543021246,6583,12.543050766,6583,0.000236141,12.543011328,6583,0.000079068
206,-5.796000000,12.998036173,6584,12.998062134,6584,0.000198620,12.998025011,6584,0.000085876
207,-5.212400000,13.175950592,1034,13.175931931,1034,0.000142610,13.175999549,1034,0.000371566
208,-2.870900000,13.121192091,17931,13.121152878,17931,0.000301905,13.121179806,17931,0.000093628
209,-3.432100000,12.850969826,17931,12.850956917,17931,0.000100137,12.850977737,17931,0.000061554
210,-1.681300000,12.643555738,17932,12.643544197,17932,0.000092124,12.643564606,17932,0.000070144
211,-0.293330000,12.504400278,17933,12.504386902,17933,0.000105804,12.504400471,17933,0.000001542
212,-0.025829000,12.414166040,17935,12.414127350,17935,0.000314232,12.414152842,17935,0.000106307
213,0.157720000,12.327467236,17936,12.327432632,17936,0.000281978,12.327457850,17936,0.000076139
214,-0.363700000,12.260120546,17937,12.260082245,17937,0.000312591,12.260107114,17937,0.000109560
215,-0.521990000,12.174649996,17938,12.174617767,17938,0.000261022,12.174643284,17938,0.000055131
216,-3.996300000,12.114610339,17939,12.114578247,17939,0.000266819,12.114603206,17939,0.000058882
217,-9.290500000,12.074597774,17940,12.074562073,17940,0.000292259,12.074588391,17940,0.000077708
218,-15.197000000,12.076425426,17941,12.076392174,17941,0.000275103,12.076418106,17941,0.000060618
219,-15.025000000,12.073248239,17942,12.073213577,17942,0.000288606,12.073232353,17942,0.000131583
220,-13.378000000,12.082449313,17943,12.082411766,17943,0.000313895,12.082430330,17943,0.000157111
221,-13.470000000,12.086828168,17944,12.086791992,17944,0.000297594,12.086811766,17944,0.000135701
222,-12.329000000,12.110972543,17945,12.110931396,17945,0.000336997,12.110951258,17945,0.000175749
223,-11.900000000,12.144238053,17946,12.144203186,17946,0.000286034,12.144222164,17946,0.000130841
224,-11.730000000,12.177702114,17947,12.177666664,17947,0.000291995,12.177685351,17947,0.000137654
225,-12.404000000,12.213675208,17948,12.213635445,17948,0.000323360,12.213654453,17948,0.000169927
226,-10.384000000,12.157584368,17949,12.157548904,17949,0.000290214,12.157561636,17949,0.000186979
227,-10.105000000,12.107281604,17950,12.107249260,17950,0.000263612,12.107261660,17950,0.000164723
